2014,2012,-65536
2012,2011,-58880
2011,2010,-52480
2010,2009,-45824
2009,2008,-39424
2008,2007,-32768
2007,2006,-26368
2006,2005,-19712
2005,2004,-13312
2004,2003,-6656
2003,2002,-256
2002,2001,-4980992
2001,2000,-10027264
2000,1999,-15008000
1999,1998,-16711885
1998,1997,-16711808
1997,1996,-16711732
1996,1995,-16718081
1995,1994,-16737793
1994,1993,-16757505
1993,1990,-16776961
